ticker,detector,N_act,hit_rate,mean_pnl_bps,total_pnl_bps
SPY,RAM,124.000000,0.580645,14.029559,1739.665349
SPY,PSA,0.000000,,,0.000000
SPY,GSO,0.000000,,,0.000000
NVDA,RAM,262.750000,0.533777,6.653192,1748.126087
NVDA,PSA,2.250000,0.777778,29.664457,66.745029
NVDA,GSO,0.000000,,,0.000000
BAC,RAM,194.500000,0.533419,7.029591,1367.255529
BAC,PSA,0.500000,0.500000,154.301068,77.150534
BAC,GSO,0.000000,,,0.000000
TSLA,RAM,223.750000,0.517318,10.107969,2261.658152
TSLA,PSA,0.250000,1.000000,95.206104,23.801526
TSLA,GSO,0.000000,,,0.000000
XLE,RAM,268.016667,0.566196,6.950044,1862.727640
XLE,PSA,0.983333,0.254237,-22.815913,-22.435648
XLE,GSO,0.000000,,,0.000000
UNG,RAM,2.000000,0.000000,-68.426451,-136.852902
UNG,PSA,0.000000,,,0.000000
UNG,GSO,0.000000,,,0.000000
MSTR,RAM,1.000000,1.000000,123.959250,123.959250
MSTR,PSA,0.000000,,,0.000000
MSTR,GSO,0.000000,,,0.000000
SMCI,RAM,274.300000,0.463361,0.678790,186.192031
SMCI,PSA,3.700000,0.513514,1.748961,6.471156
SMCI,GSO,0.000000,,,0.000000
ROKU,RAM,27.833333,0.510778,-1.556352,-43.318451
ROKU,PSA,3.166667,0.563158,14.245361,45.110309
ROKU,GSO,0.000000,,,0.000000
MARA,RAM,12.516667,0.512650,-6.078680,-76.084814
MARA,PSA,4.483333,0.576208,-2.637943,-11.826777
MARA,GSO,0.000000,,,0.000000
