ticker,N_int,hit_rate_int,mean_pnl_bps,median_pnl_bps,total_pnl_bps,IC95_low_bps,IC95_high_bps,sign_test_p
SPY,124,0.580645,14.029559,25.107097,1739.665349,-0.049834,28.125793,0.087553
NVDA,265,0.535849,6.848570,12.007910,1814.871117,-0.352535,13.738324,0.268810
BAC,195,0.533333,7.407211,5.867934,1444.406063,-3.245883,17.685073,0.246910
TSLA,224,0.517857,10.202945,1.797009,2285.459678,-2.504862,22.907363,0.640092
XLE,269,0.565056,6.841234,18.109327,1840.291993,-5.639659,17.190461,0.023112
UNG,2,0.000000,-68.426451,-68.426451,-136.852902,-113.391384,-23.461519,0.500000
MSTR,1,1.000000,123.959250,123.959250,123.959250,,,1.000000
SMCI,278,0.464029,0.693033,-9.351430,192.663188,-12.917262,12.983905,0.279444
ROKU,31,0.516129,0.057802,2.219707,1.791858,-26.827631,24.263102,1.000000
MARA,17,0.529412,-5.171270,15.358360,-87.911591,-40.755145,28.806730,1.000000
